Source	Target	Weight	Date	Class
jokowi	prabowo	1	2018-12-31	Other 2
jokowi	2019prabowopresiden	1	2018-12-31	Other 2
jokowidodomaruf2019	jokowipresidenku	1	2019-01-14	False News
jokowidodomaruf2019	presidenjokowi	1	2019-01-14	False News
jokowidodomaruf2019	ahok	1	2019-01-14	False News
jokowipresidenku	presidenjokowi	1	2019-01-14	False News
jokowipresidenku	ahok	1	2019-01-14	False News
presidenjokowi	ahok	1	2019-01-14	False News
presidenjokowi	pemilu2019	1	2019-01-17	True News
presidenjokowi	debatpilpres2019	1	2019-01-17	True News
presidenjokowi	marufamin	1	2019-01-17	True News
presidenjokowi	prabowosubianto	1	2019-01-17	True News
presidenjokowi	sandiagauno	1	2019-01-17	True News
presidenjokowi	vivafakta	1	2019-01-17	True News
hoaxpemilu	faktapemilu	6	2019-05-03	True News
hoaxpemilu	kpumelayani	2	2019-05-03	True News
hoaxpemilu	radiopemilu2019	1	2019-05-03	True News
faktapemilu	kpumelayani	2	2019-05-03	True News
faktapemilu	radiopemilu2019	1	2019-05-03	True News
kepoinpemilu	pemilunesia	2	2019-03-30	True News
liveblog	debatpilpres2019	4	2019-03-30	True News
liveblog	debatpilpres2019	1	2019-03-17	Misleading News
liveblog	debatpilpres2019	1	2019-03-17	True News
liveblog	datapilpres2019	1	2019-04-13	True News
liveblog	lokadata	1	2019-03-17	True News
debatpilpres2019	rumahpemilu	7	2019-03-17	True News
debatpilpres2019	rumahpemilu	3	2019-02-17	False News
debatpilpres2019	kasihpilihan	3	2019-03-17	True News
debatpilpres2019	kasihpilihan	1	2019-02-17	False News
debatpilpres2019	debatcawapres2019	3	2019-03-17	True News
debatpilpres2019	debatketigapilpres2019	2	2019-03-17	True News
debatpilpres2019	debatketigapilpres2019	2	2019-03-17	True News
debatpilpres2019	litbangkompas	2	2019-03-17	True News
debatpilpres2019	kompasdata	3	2019-03-17	True News
debatpilpres2019	mudamemilih	2	2019-03-17	True News
debatpilpres2019	mudamemilih	2	2019-02-17	False News
debatpilpres2019	debatcawapres	1	2019-03-17	True News
debatpilpres2019	debatfinalpilpres2019	1	2019-04-13	True News
debatpilpres2019	debatterakhirpilpres2019	3	2019-04-13	True News
debatpilpres2019	cekdata	1	2019-04-13	True News
debatpilpres2019	pilpres2019	2	2019-04-13	True News
debatpilpres2019	pilpres2019	2	2019-02-17	False News
debatpilpres2019	debatpilpresmdk	1	2019-04-13	True News
debatpilpres2019	debatpilpresmdk	2	2019-02-17	True News
debatpilpres2019	debatcapres2019	6	2019-04-13	True News
debatpilpres2019	debatcapres2019	1	2019-03-30	True News
debatpilpres2019	voteforindonesia	1	2019-04-13	True News
debatpilpres2019	millennialsmemilih	1	2019-04-13	True News
debatpilpres2019	debatpertamapilpres2019	1	2019-01-17	Other 2
debatpilpres2019	debatpertamapilpres2019	1	2019-01-17	Other 2
debatpilpres2019	pemilu2019	1	2019-01-17	True News
debatpilpres2019	marufamin	1	2019-01-17	True News
debatpilpres2019	prabowosubianto	1	2019-01-17	True News
debatpilpres2019	sandiagauno	1	2019-01-17	True News
debatpilpres2019	vivafakta	1	2019-01-17	True News
debatpilpres2019	rakyatsudahmuak	1	2019-01-17	False News
debatpilpres2019	prabohonglagi	1	2019-01-17	False News
debatpilpres2019	bersihkanindonesia	1	2019-02-17	Other 1
debatpilpres2019	bersihkanindonesia	1	2019-02-17	Other 2
debatpilpres2019	debatcapreskedua	1	2019-02-17	True News
debatpilpres2019	debatcapres	3	2019-02-17	True News
debatpilpres2019	debatcapres	1	2019-02-17	False News
debatpilpres2019	debatcapres	1	2019-01-17	Other 2
debatpilpres2019	debatcapres	2	2019-02-17	True News
debatpilpres2019	inews	2	2019-02-17	True News
debatpilpres2019	debatpintarjokowi	2	2019-02-17	False News
debatpilpres2019	jokowiuntuk1ndonesia	1	2019-02-17	False News
debatpilpres2019	curhatpilpres2019	1	2019-02-17	False News
debatpilpres2019	curhatpilpres2019	1	2019-03-30	True News
debatpilpres2019	debatkeduapilpres2019	1	2019-02-17	False News
debatpilpres2019	debatkeduapilpres2019	1	2019-02-17	False News
debatpilpres2019	debatdikumparan	1	2019-04-13	True News
debatpilpres2019	jernihmemilih	1	2019-04-13	True News
debatpilpres2019	debatkeempatpilpres2019	1	2019-03-30	True News
debatpilpres2019	jokowimengubahsemua	1	2019-03-30	Other 1
debatpilpres2019	jokowimengubahsemua	1	2019-03-30	True News
debatpilpres2019	infografis	1	2019-02-17	False News
debatpilpres2019	jawapos	2	2019-02-17	False News
debatpilpres2019	debatpilpresliputan6	4	2019-03-30	True News
debatpilpres2019	debatpilprestvri	1	2019-03-30	True News
debatpilpres2019	tvri	1	2019-03-30	True News
debatpilpres2019	mediapemersatubangsa	1	2019-03-30	True News
debatpilpres2019	debatpilpres	1	2019-03-30	True News
debatpilpres2019	debattongkrongan	1	2019-03-30	True News
debatpilpres2019	debatkeempatcapres2019	1	2019-03-30	True News
debatpilpres2019	debat1pilpresonnet	1	2019-01-17	Other 1
debatpilpres2019	layarpemilutepercaya	1	2019-01-17	Other 2
debatpilpres2019	metrotvindonesiamemilih	1	2019-01-17	True News
debatpilpres2019	metrotvindonesiamemilih	1	2019-01-17	Other 2
debatpilpres2019	lokadata	1	2019-03-17	True News
debatpilpres2019	pilihanindonesia	1	2019-02-17	True News
debatcawapres2019	catatannajwaxtirtoid	1	2019-03-17	Other 1
debatcawapres2019	catatannajwaxtirtoid	1	2019-03-17	True News
debatcawapres2019	debatketigacawapres	1	2019-03-17	True News
debatcawapres2019	rumahpemilu	1	2019-03-17	True News
debatcawapres2019	mudamemilih	1	2019-03-17	True News
debatcawapres2019	debatketigapilpres2019	3	2019-03-17	True News
rumahpemilu	kasihpilihan	3	2019-03-17	True News
rumahpemilu	kasihpilihan	1	2019-02-17	False News
rumahpemilu	debatketigacawapres	1	2019-03-17	True News
rumahpemilu	mudamemilih	2	2019-03-17	True News
rumahpemilu	mudamemilih	2	2019-02-17	False News
rumahpemilu	debatfinalpilpres2019	1	2019-04-13	True News
rumahpemilu	kompasdata	2	2019-04-13	True News
rumahpemilu	debatterakhirpilpres2019	1	2019-04-13	True News
rumahpemilu	debatcapres2019	3	2019-03-30	True News
rumahpemilu	litbangkompas	1	2019-03-30	True News
kasihpilihan	debatcapres2019	1	2019-03-30	True News
debatketigacawapres	mudamemilih	1	2019-03-17	True News
mudamemilih	litbangkompas	1	2019-03-17	True News
mudamemilih	kompasdata	1	2019-03-17	True News
mudamemilih	debatketigapilpres2019	1	2019-03-17	True News
mudamemilih	debatcawapres	1	2019-03-17	True News
mudamemilih	debatfinalpilpres2019	1	2019-04-13	True News
debatketigapilpres2019	litbangkompas	1	2019-03-17	True News
debatketigapilpres2019	kompasdata	1	2019-03-17	True News
debatketigapilpres2019	debatcawapres	1	2019-03-17	True News
debatketigapilpres2019	cekdata	1	2019-03-17	True News
cekfaktadebatpilpres2019	sandiagauno	1	2019-03-18	Other 1
cekfaktadebatpilpres2019	angkakematianibu	1	2019-03-18	Other 1
cekfaktadebatpilpres2019	cekfaktalive	3	2019-03-17	True News
sandiagauno	angkakematianibu	1	2019-03-18	Other 1
sandiagauno	pemilu2019	1	2019-01-17	True News
sandiagauno	marufamin	1	2019-01-17	True News
sandiagauno	prabowosubianto	1	2019-01-17	True News
sandiagauno	vivafakta	1	2019-01-17	True News
litbangkompas	kompasdata	2	2019-03-17	True News
litbangkompas	debatcawapres	1	2019-03-17	True News
litbangkompas	debatcapres2019	1	2019-03-30	True News
kompasdata	debatcawapres	1	2019-03-17	True News
kompasdata	debatterakhirpilpres2019	1	2019-04-13	True News
kompasdata	debatcapres2019	1	2019-03-30	True News
debatcawapres	pilpres2019	1	2019-03-17	True News
debatcawapres	asumsi	1	2019-03-18	True News
2019gantipresiden	2019prabowosandi	10	2018-09-25	False News
2019gantipresiden	2019prabowosandi	1	2018-11-17	False News
2019gantipresiden	2019prabowosandi	1	2018-11-27	True News
2019gantipresiden	2019prabowosandi	2	2018-12-31	Other 2
2019gantipresiden	2019prabowosandi	1	2019-01-03	True News
2019gantipresiden	rezimpanik	1	2018-09-25	False News
2019gantipresiden	rezimpanik	1	2019-02-05	False News
2019gantipresiden	tolakangkanol	1	2018-09-25	False News
2019gantipresiden	curangsejakawal	1	2018-09-25	False News
2019gantipresiden	prabowosandi	3	2018-09-25	False News
2019gantipresiden	prabowosandi	1	2018-12-24	False News
2019gantipresiden	prabowosandi	2	2018-11-26	Other 2
2019gantipresiden	hancurkanpki	1	2018-09-25	False News
2019gantipresiden	2019prabowosandimenang	1	2018-10-09	False News
2019gantipresiden	2019prabowosandimenang	1	2018-10-07	Other 2
2019gantipresiden	prabowopresiden	1	2018-10-09	False News
2019gantipresiden	prabowopresiden	1	2018-10-07	Other 1
2019gantipresiden	prabowopresiden	1	2018-10-07	Other 2
2019gantipresiden	prabowosandimenang	1	2018-10-09	False News
2019gantipresiden	adilmakmur	3	2018-10-09	False News
2019gantipresiden	adilmakmur2	1	2018-10-09	False News
2019gantipresiden	2019prabowopresiden	2	2019-02-05	False News
2019gantipresiden	2019prabowopresiden	1	2018-11-30	Other 1
2019gantipresiden	2019prabowopresiden	1	2018-10-06	Other 1
2019gantipresiden	2019prabowopresiden	2	2018-11-18	Misleading News
2019gantipresiden	prabowo	1	2019-02-05	False News
2019gantipresiden	powerofemakemak	1	2018-11-30	Other 1
2019gantipresiden	nomor2	1	2018-11-17	False News
2019gantipresiden	rakyatsudahmuak	1	2019-01-17	False News
2019gantipresiden	2019prabowopresidenri	1	2019-01-17	False News
2019gantipresiden	2019prabowopresidenri	1	2019-04-04	False News
2019gantipresiden	17aprilprabowopresiden	1	2019-01-17	False News
2019gantipresiden	harampilihpemimpiningkarjanji	1	2019-01-17	False News
2019gantipresiden	skip	1	2018-12-25	False News
2019gantipresiden	jkwtakutpaparkanmisivisi	8	2019-01-05	False News
2019gantipresiden	bapakhoaxnasional	1	2018-10-06	Other 1
2019gantipresiden	teganianpakmulyono	1	2018-10-07	Other 1
2019gantipresiden	prabowosandi02	1	2018-10-07	Other 1
2019gantipresiden	relawanprabowosandi	1	2018-10-07	Other 2
2019gantipresiden	ktpprabowo	1	2018-11-26	Other 2
2019gantipresiden	putihkangbk	1	2019-04-05	False News
2019gantipresiden	pilihpas2019	2	2018-11-18	Misleading News
2019gantipresiden	tahunbarupresidenbaru	1	2019-01-01	False News
2019gantipresiden	tahunbarupresidenbaru	1	2018-12-31	Other 2
2019gantipresiden	tahunbarupresidenbaru	1	2018-12-31	Other 2
2019gantipresiden	prabowothenextleader	1	2019-03-12	False News
2019gantipresiden	madura	1	2019-02-27	Other 1
2019gantipresiden	thepowerofemakemak	1	2019-02-27	Other 1
2019gantipresiden	2019tetapantipki	1	2018-11-30	False News
2019gantipresiden	2019diatakutdiganti	1	2018-11-30	False News
2019gantipresiden	indonesianeedsprabowo	1	2019-04-04	False News
2019gantipresiden	indonesiacallobserversos90turkey	1	2019-04-04	False News
2019gantipresiden	indonesiacallcartercenter	1	2019-04-04	False News
2019gantipresiden	webkawalpemilutipu	1	2019-04-04	False News
2019gantipresiden	kamibersamahrs	1	2018-09-30	False News
