Source	Target	Weight	Date	Class
udin_erudin93	fadlizon	1	2019-05-03	Other 1
udin_erudin93	priyobudis	1	2019-05-03	Other 1
justiciabelen	bawaslu_ri	1	2019-05-06	Misleading News
justiciabelen	kpu_id	1	2019-05-06	Misleading News
justiciabelen	bareskrimpolri	1	2019-05-06	Misleading News
lookinglove62	youtube	2	2019-05-02	True News
lookinglove62	youtube	6	2019-04-26	False News
lookinglove62	youtube	1	2019-01-21	Other 2
lookinglove62	youtube	1	2019-04-10	Misleading News
ndcapio	tvonenews	1	2019-05-02	Other 1
ndcapio	tvrinasional	1	2019-05-02	Other 1
ndcapio	kpu_id	1	2019-05-02	Other 1
tvrinasional	prabowo	2	2019-03-30	True News
blacktoy6	vasco_ruseimy	1	2019-05-05	Other 1
blacktoy6	kpu_id	1	2019-05-05	Other 1
blacktoy6	bawaslu_ri	1	2019-05-05	Other 1
blacktoy6	fahrihamzah	1	2019-05-05	Other 1
jasmerah96	fadlizon	1	2019-05-01	Other 1
jasmerah96	fahrihamzah	1	2019-05-01	Other 1
jasmerah96	dahnilanzar	1	2019-05-01	Other 1
jasmerah96	micheladamnew	1	2019-05-01	Other 1
hendry_much	kpu_id	1	2019-05-04	Other 1
hendry_much	bawaslu_ri	1	2019-05-04	Other 1
hendry_much	sandiuno	1	2019-05-04	Other 1
hendry_much	priyobudis	1	2019-05-04	Other 1
rickydp19	kpu_id	1	2019-05-02	Other 1
sohen66	rininizar72	1	2018-10-24	Other 2
sipecimerah	amran_sulaiman1	1	2018-09-25	False News
sipecimerah	kementan	1	2018-09-25	False News
sipecimerah	jokowi	1	2018-09-25	False News
sipecimerah	bawaslu_ri	1	2018-09-25	False News
sipecimerah	kpu_id	1	2018-09-25	False News
tonggos_radikal	iwatikk	1	2018-09-26	True News
reiza_patters	jokowi	1	2018-09-26	Other 1
reiza_patters	pramonoanung	1	2018-09-26	Other 1
reiza_patters	kemensetnegri	1	2018-09-26	Other 1
reiza_patters	setkabgoid	1	2018-09-26	Other 1
setkabgoid	kemkominfo	1	2019-05-05	True News
el_massoud	jokowi	1	2018-09-25	False News
beritakbr	prabowo	1	2019-02-08	False News
beritakbr	jokowi	1	2019-02-08	False News
beritakbr	turnbackhoax	1	2019-02-08	False News
beritakbr	mafindoid	1	2019-02-08	False News
beritakbr	cekfakta	1	2019-01-17	True News
eka_maria130383	prabowo	1	2019-05-22	False News
eka_maria130383	sandiuno	1	2019-05-22	False News
eka_maria130383	gerindra	1	2019-05-22	False News
eka_maria130383	rockygerung	1	2019-05-22	False News
gerindra	indonesiaadilma	1	2018-10-22	False News
erickektrada1	tvonenews	1	2019-05-22	False News
wakilgubernurkw	tvonenews	2	2019-05-22	False News
metrotvtoday	metro_tv	2	2019-05-23	True News
suara_bawah	akuntofa	1	2019-03-10	Other 2
suara_bawah	ccicpolri	1	2019-03-10	Other 2
conan_idn	ilctv1	1	2019-03-10	False News
conan_idn	karniilyas	1	2019-03-10	False News
conan_idn	fahrihamzah	2	2019-01-14	Other 2
conan_idn	fahrihamzah	1	2019-01-14	Misleading News
conan_idn	anismatta	1	2019-01-14	Other 2
conan_idn	mahfudzsiddiq	1	2019-01-14	Other 2
conan_idn	mahfudzsiddiq	1	2019-01-14	Misleading News
conan_idn	grace_nat	1	2019-04-16	False News
conan_idn	emerson_yuntho	1	2019-01-01	False News
conan_idn	ustadtengkuzul	1	2019-01-01	False News
conan_idn	prabowo	1	2019-01-01	False News
conan_idn	prabowo	1	2018-12-31	True News
conan_idn	sandiuno	1	2018-12-31	True News
f_asdam	divhumas_polri	1	2019-03-10	False News
f_asdam	opposite6890	1	2019-03-10	False News
cindybexter	divhumas_polri	1	2019-03-10	False News
detikcom	prabowo	1	2018-10-27	True News
detikcom	prabowo	5	2018-11-27	Misleading News
detikcom	sandiuno	2	2018-10-27	True News
detikcom	jokowi	1	2019-01-17	Other 2
detikcom	jokowi	2	2018-12-28	False News
detikcom	jokowi	1	2019-03-17	True News
detikcom	20detik	2	2019-03-19	True News
detikcom	20detik	1	2018-10-22	False News
detikcom	20detik	1	2019-05-15	Misleading News
detikcom	detikfinance	2	2019-01-26	True News
detikcom	detikfinance	5	2018-11-27	Misleading News
detikcom	detikhot	1	2018-11-17	True News
detikcom	detikfood	1	2018-11-07	Other 1
ranupsprosandi	kpu_id	1	2019-04-07	Misleading News
ranupsprosandi	bawaslu_ri	1	2019-04-07	Misleading News
ranupsprosandi	sandiuno	2	2019-03-18	True News
ranupsprosandi	prabowo	1	2019-03-18	True News
nkri_nomor_1	ridwankamil	1	2019-04-10	False News
rustand73399734	kpu_id	1	2018-10-20	Other 1
aries19684926	kpu_id	1	2019-04-23	False News
aries19684926	jokowi	1	2019-04-23	False News
lokadataid	prabowo	1	2019-04-13	True News
utuhwibowo	prabowo	2	2019-04-13	True News
utuhwibowo	yunartowijaya	1	2019-03-25	False News
cnnindonesia	prabowo	4	2019-04-13	True News
cnnindonesia	jokowi	3	2019-01-17	True News
cnnindonesia	gerindra	1	2019-01-17	True News
cnnindonesia	antikorupsi	1	2019-01-17	True News
cnnindonesia	un	1	2019-03-30	True News
rakyatrukun_	prabowo	1	2019-04-13	True News
rakyatrukun_	sandiuno	1	2019-04-13	True News
rakyatrukun_	jokowi	1	2019-04-13	True News
rakyatrukun_	jokowi	1	2019-03-11	False News
anshory72	smeruinstitute	1	2019-04-13	True News
bisniscom	prabowo	1	2019-04-13	True News
idntimes	prabowo	1	2019-04-13	True News
bepejeel	jokowi	1	2019-03-10	True News
bepejeel	kpu_id	1	2018-12-24	False News
jongmuslim	prabowo	1	2019-03-11	Other 1
regahalilintar	dennysiregar7	1	2019-03-10	Other 1
dennysiregar7	grace_nat	1	2019-04-16	True News
dennysiregar7	jokowi	1	2019-04-15	False News
dennysiregar7	jokowi	1	2018-10-26	Misleading News
dennysiregar7	andiarief__	1	2019-01-02	Other 2
dennysiregar7	prabowo	1	2018-10-26	Misleading News
kasanmulyono	prabowo	5	2019-03-10	True News
kasanmulyono	sandiuno	5	2019-03-10	True News
kasanmulyono	okezonenews	1	2019-03-30	True News
kasanmulyono	harian_jogja	1	2019-03-30	True News
bangril	jokowi	1	2019-01-20	Other 2
bangril	prabowo	1	2019-01-20	Other 2
bangril	sbyudhoyono	1	2019-01-20	Other 2
bangril	ramlirizal	1	2019-01-20	Other 2
bangril	mohmahfudmd	1	2019-01-20	Other 2
bangril	karniilyas	1	2019-01-20	Other 2
bangril	matanajwa	1	2019-01-20	Other 2
bangril	rosianna766hi	1	2019-01-20	Other 2
bangril	rockygerung	1	2019-01-20	Other 2
bangril	dahnilanzar	1	2019-01-20	Other 2
bangril	faldomaldini	1	2019-01-20	Other 2
bangril	dpr_ri	1	2019-01-20	Other 2
bangril	republikaonline	1	2019-01-20	Other 2
bangril	kompascom	1	2019-01-20	Other 2
matanajwa	prabowo	1	2019-03-30	True News
bolakbalikkata_	fadlizon	1	2019-01-21	Misleading News
arisnawan82	prabowo	1	2019-01-20	Other 2
iskandar__fauzi	rt_erdogan	1	2019-01-16	False News
iskandar__fauzi	prabowo	1	2019-01-16	False News
zulkiflilubis71	prabowo	1	2019-01-16	False News
zulkiflilubis71	sandiuno	1	2019-01-16	False News
bangumar_	prabowo	1	2019-01-17	False News
hamid80al	prabowo	1	2019-01-16	False News
queenrana15	prabowo	2	2019-01-16	False News
partaisocmed	hasmi_bakhtiar	2	2019-04-20	Other 1
hasmi_bakhtiar	partaisocmed	1	2019-04-21	True News
bullfront	hasmi_bakhtiar	1	2019-04-20	True News
bullfront	prabowo	1	2018-11-26	Other 2
dedodpassdpe	hasmi_bakhtiar	1	2019-04-20	True News
janggocelebes	prabowo	1	2019-04-20	Other 2
janggocelebes	sandiuno	1	2019-04-20	Other 2
janggocelebes	dahnilanzar	1	2019-04-20	Other 2
janggocelebes	aljazeeraturk	1	2019-04-20	Other 2
janggocelebes	aljazeera	1	2019-04-20	Other 2
janggocelebes	aljazeera_world	1	2019-04-20	Other 2
janggocelebes	cnni	1	2019-04-20	Other 2
janggocelebes	rterdogan	1	2019-04-20	Other 2
ahyarichenkoacm	jokowi	1	2019-04-20	True News
khaejamal	jokowi	2	2019-04-20	True News
khaejamal	rterdogan	1	2019-04-20	True News
khaejamal	khmarufamin_	1	2019-04-20	True News
diponegros	hasmi_bakhtiar	1	2019-04-20	True News
diponegros	partaisocmed	1	2019-04-20	True News
elina_vay	jokowi	1	2019-04-16	Other 2
elina_vay	psi_id	1	2019-04-16	Other 2
triwul82	melekpolitikcom	1	2019-04-14	Other 1
triwul82	melekpolitikcom	1	2019-01-25	True News
triwul82	melekpolitikcom	1	2019-01-28	Other 2
triwul82	tirtoid	1	2018-10-13	True News
timurland45	pksejahtera	1	2019-04-14	True News
timurland45	hnurwahid	1	2019-04-14	True News
tribunnews	tribunnews	5	2019-04-15	True News
tribunnews	tribunnews	1	2019-03-17	False News
tribunnews	tribunnews	1	2019-04-10	Other 2
tribunnews	tribunwow	2	2019-05-02	False News
powerofemakemak	prabowo	1	2018-11-30	Other 1
powerofemakemak	sandiuno	1	2018-11-30	Other 1
powerofemakemak	borokokoook	1	2018-11-30	Other 1
ainicahya4	prabowo	1	2018-11-27	Other 1
muannas_alaidid	divhumas_polri	1	2018-11-14	Other 2
muannas_alaidid	divhumas_polri	1	2018-11-14	True News
muannas_alaidid	psi_id	2	2018-11-14	Other 2
muannas_alaidid	psi_id	1	2018-11-14	True News
roninkhalid	fsetu	1	2018-10-02	True News
r_gun4w4n	jokowi	1	2019-01-14	Other 2
r_gun4w4n	anismatta	1	2019-01-14	Other 2
r_gun4w4n	fahrihamzah	1	2019-01-14	Other 2
r_gun4w4n	fahrihamzah	1	2019-03-26	True News
r_gun4w4n	fahrihamzah	1	2019-02-27	False News
r_gun4w4n	pksejahtera	1	2019-01-14	Other 2
r_gun4w4n	rizmawidiono	1	2019-01-14	Other 2
r_gun4w4n	rizmawidiono	1	2019-02-27	False News
r_gun4w4n	jkfc23456789	1	2019-01-14	Other 2
r_gun4w4n	jajangridwan19	1	2019-01-14	Other 2
r_gun4w4n	yunartowijaya	1	2019-03-26	True News
r_gun4w4n	hnurwahid	1	2019-02-27	False News
r_gun4w4n	dahnilanzar	1	2019-02-27	False News
r_gun4w4n	p3nj3l4j4h	1	2019-02-27	False News
rizmawidiono	prabowo	1	2019-02-27	False News
rizmawidiono	sandiuno	1	2019-01-02	True News
bin_martakusuma	fahrihamzah	1	2019-01-13	True News
bin_martakusuma	jokowi	2	2019-01-13	True News
bin_martakusuma	pksejahtera	1	2019-01-13	True News
arysyahpoetra	fahrihamzah	1	2019-01-15	Other 2
adninarmas29	jokowi	1	2019-01-17	Other 2
adninarmas29	jokowi	1	2019-01-17	True News
adninarmas29	prabowo	2	2019-01-17	Other 2
adninarmas29	prabowo	1	2019-01-17	True News
adninarmas29	gerindra	1	2019-01-17	Other 2
adninarmas29	gerindra	1	2019-01-17	True News
adninarmas29	antikorupsi	1	2019-01-17	True News
panglima_nayan	gerindra	1	2019-01-17	Other 1
davinlin_	jokowi	1	2019-01-17	False News
captain_indo	jokowi	1	2019-01-17	Other 1
saidiman	grace_nat	1	2019-04-16	True News
saidiman	psi_id	1	2019-04-16	True News
mahad3w4	grace_nat	1	2019-04-16	False News
lodysiegers	psi_id	1	2019-04-16	True News
lodysiegers	grace_nat	1	2019-04-16	True News
